name,text,rt,id
prabowo,@msaid_didu Pilih Prabowo,0,1552119372952453121
prabowo,Yth bapak Presiden republik Indonesia Ir Haji JokowiDodo @jokowi dan Yth bapak kepala kepolisian negara republik In… https://t.co/kBh5ce6rYJ,39,1552234605419237376
prabowo,@supriatna_sh @SultanZulu20 @ChusnulCh__ @Dennysiregar7 @CutSarina5 @AgusBudiWasono1 @AsliLucuBanget… https://t.co/yJtzDEk4OB,0,1552234605419237376
prabowo,@prabowo gmn ini pak? https://t.co/0R24TFda9M,0,1552234605419237376
prabowo,@clarinats Sorry ya lama kemarin tbtb pak prabowo borong risol https://t.co/0IDk2yZJbf,0,1552234605419237376
prabowo,"Guys ngopi daring kedatangan para anak berprestasi nih, yuk segera ke Youtube @kemhan_RI.
@prabowo 
NgopiDaring Bel… https://t.co/LE7CvAsmiP",2,1551476092845842433
prabowo,Yth bapak Presiden republik Indonesia Ir Haji JokowiDodo @jokowi dan Yth bapak kepala kepolisian negara republik In… https://t.co/kBh5ce6rYJ,39,1552234605419237376
prabowo,"Pak @prabowo mendapatkan persepsi positif capai 62,8%.
@gerindra 
Kerja Prabowo Terbukti
Masyarakat Makin Percaya
M… https://t.co/uxDOAHZPLj",3,1551415694733893632
prabowo,"Catat nih, Pak Prabowo menduduki tempat dipuncak di antara sejumlah nama capres yang dilihat saat ini.
@prabowo… https://t.co/UFR2GlYD9j",2,1551415694880677891
prabowo,"Catat nih, Pak Prabowo menduduki tempat dipuncak di antara sejumlah nama capres yang dilihat saat ini.
@prabowo… https://t.co/UFR2GlYD9j",2,1551415694880677891
prabowo,"@Dahnilanzar @prabowo Kl pengkhianat,  diangkat gimana pun tetap orang akan ingat",0,1551415694880677891
prabowo,"Top News Koran Rakyat Merdeka

Mau Bikin Piagam Deklarasi
Prabowo Dan Cak Imin Kok Belum Juga Dikawinin Nih

https://t.co/Vz02sqTwfF",0,1551415694880677891
prabowo,"@Paltiwest Makanya saya bilang justru itu wajah asli nasdem..
Nasionalis hanya jargon doank.

Dulu banget banyak si… https://t.co/InyBCegvs5",0,1551415694880677891
prabowo,Yth bapak Presiden republik Indonesia Ir Haji JokowiDodo @jokowi dan Yth bapak kepala kepolisian negara republik In… https://t.co/kBh5ce6rYJ,39,1552234605419237376
prabowo,"@Dahnilanzar @prabowo Jabatan ini mulia bapak
Daripada politik di negeri ini",0,1552234605419237376
prabowo,"@TheApeList_ @adutchbro @SaphireNFT @Burpss88
 
@Andytjitra2708
 
@Reilly_Prabowo",0,1552234605419237376
prabowo,"Guys ngopi daring kedatangan para anak berprestasi nih, yuk segera ke Youtube @kemhan_RI.
@prabowo 
NgopiDaring Bel… https://t.co/LE7CvAsmiP",2,1551476092845842433
prabowo,"Citra positif Pak @prabowo kian meroket ditengah dapatkan komentar negatif. 
@gerindra 
Kerja Prabowo Terbukti
Masy… https://t.co/puLVrf8pjT",2,1551415695098818561
prabowo,"Pak @prabowo diremehkan, citra positif naik menjadi yang tertinggi. 
@gerindra 
Kerja Prabowo Terbukti
Masyarakat M… https://t.co/R24w3AStjR",2,1551415695250014209
prabowo,"Publik menilai Pak @prabowo menjadi Menteri dengan kinerja terbaik. 
@gerindra
Prabowo Selalu Teratas
Gerindra Sumb… https://t.co/mgc6eX3dSA",2,1549633954465976321
prabowo,"Yuk segera ke Youtube @kemhan_RI, kehadiran anak-anak berprestasi nih 👍

@prabowo 
NgopiDaring Bela Negara
Merajut… https://t.co/q8hsceKqNb",1,1551476092795588608
prabowo,@TardWithAHardR @Nftzakcrypto @ThePlagueNFT @Burpss88 @EricEdiputra @almostcliff,0,1551476092795588608
prabowo,"2k followers. Thank you! Let’s celebrate with a no ragrets giveaway. 

To win:
🐸 Follow @TardWithAHardR &amp;… https://t.co/OXRk2B93yR",65,1552458234065088512
prabowo,Gerindra Undur Rapimnas Pengumuman Prabowo Capres karena Ada Kendala https://t.co/XRTlqtE1s3,0,1552458234065088512
prabowo,@prabowo @Gerindra Semoga bapak @prabowo dpt segera merespon saya... terima kasih pak.. maju terus Gerindra,0,1552458234065088512
prabowo,"Elektabilitas Pak @prabowo teratas pada survei pilpres mendatang. 
@gerindra
Prabowo Selalu Teratas
Gerindra Sumbu… https://t.co/jQNrE4yzKz",2,1549634709424160768
prabowo,Gerindra Undur Rapimnas Pengumuman Prabowo Capres karena Ada Kendala https://t.co/sy5YwStVS9,0,1549634709424160768
prabowo,"1x @MooncatzNFT Giveaway

How to Enter:
✅Like + RT
✅Follow @enzosanti93 x @MooncatzNFT 

Winners in 48 hours ⏰… https://t.co/uwGMWJNRYN",239,1552425072706854912
prabowo,"@detikcom Tau kan kenapa skrg, saat Pilpres kmren Pak Jokowi pilih Pak Ma'aruf Amin sbg Wapresnya. Karena org MUI i… https://t.co/NgVE1ASb77",0,1552425072706854912
prabowo,@mop_eth @afarfromhomie @SpaceRiders_NFT @alienfrens @HowittFlynn @TheGhilliesNFT @littlebrain1000 @EricEdiputra @Burpss88 @almostcliff,0,1552425072706854912
prabowo,"🎁 #NFTGiveaway 🎁
Giving back to those who got us here ❤️

1 @spaceriders_nft #3674
1 @alienfrens (AFE) #2857

🏆 2 w… https://t.co/4oOBE2cwJw",169,1552452021063938049
prabowo,@Gerindra Prabowo presiden,0,1552452021063938049
prabowo,@Dahnilanzar @prabowo Kesampaian jadi president walaupun jadi president silat...!!!,0,1552452021063938049
prabowo,@prabowo @Gerindra Selamat pagi pak @prabowo saya mohon maaf sebelumnya ekonomi saya tidak terlalu bagus saat ini..… https://t.co/HZOcwFg0gM,0,1552452021063938049
prabowo,"Kapolri Jenderal Listyo Sigit Prabowo mengatakan, akan menyampaikan hasil ekshumasi atau autopsi ulang jenazah Brig… https://t.co/bZqRVqI5vt",0,1552452021063938049
prabowo,Prabowo Subianto Kembali Dipercaya Jadi Presiden Persilat https://t.co/B6Q2kSHF1e #qq288today #prediksipertandingan… https://t.co/ho41cXRmSt,1,1552096068682203136
prabowo,Yth bapak Presiden republik Indonesia Ir Haji JokowiDodo @jokowi dan Yth bapak kepala kepolisian negara republik In… https://t.co/kBh5ce6rYJ,39,1552234605419237376
prabowo,Cc Pak @prabowo https://t.co/WMZTQOZyjL,0,1552234605419237376
