keyword,url,title,content,author,publisher,description,publish_date
Gibran Rakabuming,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmRldGlrLmNvbS9qYXRlbmcvYmVyaXRhL2QtNjQ5ODc4Mi9naWJyYW4tYmFrYWwtbGliYXRrYW4taW52ZXN0b3ItZGFsYW0tcmV2aXRhbGlzYXNpLWtlcmF0b24tc29sb9IBcGh0dHBzOi8vd3d3LmRldGlrLmNvbS9qYXRlbmcvYmVyaXRhL2QtNjQ5ODc4Mi9naWJyYW4tYmFrYWwtbGliYXRrYW4taW52ZXN0b3ItZGFsYW0tcmV2aXRhbGlzYXNpLWtlcmF0b24tc29sby9hbXA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Gibran Bakal Libatkan Investor dalam Revitalisasi Keraton Solo - detikJateng,,,detikJateng,Gibran Bakal Libatkan Investor dalam Revitalisasi Keraton Solo  detikJateng,"Wed, 04 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5zb25vcmEuaWQvcmVhZC80MjM2NDQyMzIvd2FsaS1rb3RhLXNvbG8tZ2licmFuLXJha2FidW1pbmctcmFrYS1yaWxpcy0xNi1wcm9ncmFtLXByaW9yaXRhcy1wZW1iYW5ndW5hbi1rb3RhLXNvbG8tdGFodW4tMjAyM9IBhQFodHRwczovL3d3dy5zb25vcmEuaWQvYW1wLzQyMzY0NDIzMi93YWxpLWtvdGEtc29sby1naWJyYW4tcmFrYWJ1bWluZy1yYWthLXJpbGlzLTE2LXByb2dyYW0tcHJpb3JpdGFzLXBlbWJhbmd1bmFuLWtvdGEtc29sby10YWh1bi0yMDIz?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Wali Kota Solo, Gibran Rakabuming Raka Rilis 16 Program Prioritas ... - Sonora.ID",,,Sonora.ID,"Wali Kota Solo, Gibran Rakabuming Raka Rilis 16 Program Prioritas ...  Sonora.ID","Fri, 06 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjQ5OTUxNS9naWJyYW4tbmdha3UtYmVyY2FuZGEtdW5nZ2FoLWZvdG8tYW5pZXMtYmFzd2VkYW4tZGktc2Vsb2thbtIBZ2h0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjQ5OTUxNS9naWJyYW4tbmdha3UtYmVyY2FuZGEtdW5nZ2FoLWZvdG8tYW5pZXMtYmFzd2VkYW4tZGktc2Vsb2thbi9hbXA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Gibran Ngaku Bercanda Unggah Foto Anies Baswedan di Selokan - detikNews,,,detikNews,Gibran Ngaku Bercanda Unggah Foto Anies Baswedan di Selokan  detikNews,"Thu, 05 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy5zdWFyYS5jb20vZW50ZXJ0YWlubWVudC8yMDIzLzAxLzA2LzIxMjQ0NC9rYWVzYW5nLXBhbmdhcmVwLWJlYmVya2FuLXNpZmF0LWdpYnJhbi1yYWthYnVtaW5nLWRhbi1rYWhpeWFuZy1heXUteWFuZy1yZWNlaNIBgwFodHRwczovL2FtcC5zdWFyYS5jb20vZW50ZXJ0YWlubWVudC8yMDIzLzAxLzA2LzIxMjQ0NC9rYWVzYW5nLXBhbmdhcmVwLWJlYmVya2FuLXNpZmF0LWdpYnJhbi1yYWthYnVtaW5nLWRhbi1rYWhpeWFuZy1heXUteWFuZy1yZWNlaA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Kaesang Pangarep Beberkan Sifat Gibran Rakabuming dan Kahiyang Ayu yang Receh - Suara.com,,,Suara.com,Kaesang Pangarep Beberkan Sifat Gibran Rakabuming dan Kahiyang Ayu yang Receh  Suara.com,"Fri, 06 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMixQFodHRwczovL3d3dy5ncmlkLmlkL3JlYWQvMDQzNjQ2Mzk4L2phbi1ldGhlcy1tZW1hbmctZ2FudGVuZy1zZWphay1sYWhpci1pbnRpcC1wZW5hbXBpbGFuLXB1dHJhLXNlbHZpLWFuYW5kYS1kYW4tZ2licmFuLXJha2FidW1pbmctamFkaS1zb3JvdGFuLXNhYXQtZGlhamFrLXByZXNpZGVuLWpva293aS1uYWlrLWFuZG9uZy1nZW1lcy1tYWtzaW1hbNIBxAFodHRwczovL3d3dy5ncmlkLmlkL2FtcC8wNDM2NDYzOTgvamFuLWV0aGVzLW1lbWFuZy1nYW50ZW5nLXNlamFrLWxhaGlyLWludGlwLXBlbmFtcGlsYW4tcHV0cmEtc2VsdmktYW5hbmRhLWRhbi1naWJyYW4tcmFrYWJ1bWluZy1qYWRpLXNvcm90YW4tc2FhdC1kaWFqYWstcHJlc2lkZW4tam9rb3dpLW5haWstYW5kb25nLWdlbWVzLW1ha3NpbWFs?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Jan Ethes Memang Ganteng Sejak Lahir, Intip Penampilan Putra Selvi Ananda dan Gibran Rakabuming Jadi Sorotan saat Diajak Presiden Jokowi Naik Andong, Gemes Maksimal - Grid.ID",,,Grid.ID,"Jan Ethes Memang Ganteng Sejak Lahir, Intip Penampilan Putra Selvi Ananda dan Gibran Rakabuming Jadi Sorotan saat Diajak Presiden Jokowi Naik Andong, Gemes Maksimal  Grid.ID","Sun, 08 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMijAFodHRwczovL3d3dy5icmlsaW8ubmV0L3NlbGVicml0aXMvZGFtcGluZ2ktZ2licmFuLXJha2FidW1pbmctdHVnYXMtcG90cmV0LXNlbHZpLWFiYWRpa2FuLW1vbWVuLXBha2FpLWhwLWluaS1qdXN0cnUtYmlraW4tc2FsZm9rLTIzMDEwMXcuaHRtbNIBkAFodHRwczovL3d3dy5icmlsaW8ubmV0L2FtcC9zZWxlYnJpdGlzL2RhbXBpbmdpLWdpYnJhbi1yYWthYnVtaW5nLXR1Z2FzLXBvdHJldC1zZWx2aS1hYmFkaWthbi1tb21lbi1wYWthaS1ocC1pbmktanVzdHJ1LWJpa2luLXNhbGZvay0yMzAxMDF3Lmh0bWw?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Dampingi Gibran Rakabuming tugas, potret Selvi abadikan momen pakai HP ini justru bikin salfok - Brilio.net",,,Brilio.net,"Dampingi Gibran Rakabuming tugas, potret Selvi abadikan momen pakai HP ini justru bikin salfok  Brilio.net","Sun, 01 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMimgFodHRwczovL3d3dy5zdWFyYS5jb20vbGlmZXN0eWxlLzIwMjMvMDEvMDcvMTUzNTExL2Rpc2VuZ2dvbC1iYW5ndW4tbWFzamlkLXBha2FpLWFwYmQtZ2licmFuLXJha2FidW1pbmctbWFsYWgtcGFtZXItbWFzamlkLXNoZWlraC16YXllZC1zb2xvLWluaS0zLWZha3Rhbnlh0gGaAWh0dHBzOi8vYW1wLnN1YXJhLmNvbS9saWZlc3R5bGUvMjAyMy8wMS8wNy8xNTM1MTEvZGlzZW5nZ29sLWJhbmd1bi1tYXNqaWQtcGFrYWktYXBiZC1naWJyYW4tcmFrYWJ1bWluZy1tYWxhaC1wYW1lci1tYXNqaWQtc2hlaWtoLXpheWVkLXNvbG8taW5pLTMtZmFrdGFueWE?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Disenggol Bangun Masjid Pakai APBD, Gibran Rakabuming Malah Pamer Masjid Sheikh Zayed Solo: Ini 3 Faktanya - Suara.com",,,Suara.com,"Disenggol Bangun Masjid Pakai APBD, Gibran Rakabuming Malah Pamer Masjid Sheikh Zayed Solo: Ini 3 Faktanya  Suara.com","Sat, 07 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy5ob3BzLmlkL2hvdC9wci0yOTQ2NDQwMjkxL2Rpc2luZ2d1bmctcHV0cmktdGFuanVuZy1tZW5nZW5haS1jYXJhLWtvbXVuaWthc2lueWEtZ2licmFuLXJha2FidW1pbmctc2F5YS1hbnRpLXNvc2lhbC1tZWRpYdIBhwFodHRwczovL3d3dy5ob3BzLmlkL2hvdC9hbXAvcHItMjk0NjQ0MDI5MS9kaXNpbmdndW5nLXB1dHJpLXRhbmp1bmctbWVuZ2VuYWktY2FyYS1rb211bmlrYXNpbnlhLWdpYnJhbi1yYWthYnVtaW5nLXNheWEtYW50aS1zb3NpYWwtbWVkaWE?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Disinggung Putri Tanjung mengenai cara komunikasinya, Gibran Rakabuming : Saya anti sosial media - Hops ID - Hops ID",,,Hops ID,"Disinggung Putri Tanjung mengenai cara komunikasinya, Gibran Rakabuming : Saya anti sosial media - Hops ID  Hops ID","Thu, 05 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vc29sb3JheWEuc29sb3Bvcy5jb20vc2VsYW1hdC15dXN1Zi1wb2xpc2ktZ2FudGVuZy1hanVkYW4td2FsaS1rb3RhLXNvbG8tZ2licmFuLW5haWstcGFuZ2thdC0xNTEzNDg40gFvaHR0cHM6Ly9zb2xvcmF5YS5zb2xvcG9zLmNvbS9zZWxhbWF0LXl1c3VmLXBvbGlzaS1nYW50ZW5nLWFqdWRhbi13YWxpLWtvdGEtc29sby1naWJyYW4tbmFpay1wYW5na2F0LTE1MTM0ODgvYW1w?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Selamat! Yusuf Polisi Ganteng Ajudan Wali Kota Solo Gibran Naik Pangkat - Soloraya Solopos.com,,,Soloraya Solopos.com,Selamat! Yusuf Polisi Ganteng Ajudan Wali Kota Solo Gibran Naik Pangkat  Soloraya Solopos.com,"Mon, 02 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmRldGlrLmNvbS9qYXRlbmcvYmVyaXRhL2QtNjQ5Njc0Mi9rZXN1bGl0YW4tdGFnaWgtamFuamktam9rb3dpLWJhbmd1bi1nZXJlamEtd2FyZ2EtcGFwdWEtdGVtdWktZ2licmFu0gF1aHR0cHM6Ly93d3cuZGV0aWsuY29tL2phdGVuZy9iZXJpdGEvZC02NDk2NzQyL2tlc3VsaXRhbi10YWdpaC1qYW5qaS1qb2tvd2ktYmFuZ3VuLWdlcmVqYS13YXJnYS1wYXB1YS10ZW11aS1naWJyYW4vYW1w?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Kesulitan Tagih Janji Jokowi Bangun Gereja, Warga Papua Temui Gibran - detikJateng",,,detikJateng,"Kesulitan Tagih Janji Jokowi Bangun Gereja, Warga Papua Temui Gibran  detikJateng","Tue, 03 Jan 2023 08:00:00 GMT"
