created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Nov 28 13:09:04 +0000 2023,1729487572269961354,Calon Wakil Presiden Muhaimin Iskandar menyempatkan diri bermain sepak bola bersama dengan sejumlah pemain Persebaya Legend di lapangan bola Wedoro. https://t.co/y7Hv3NNrUx,0,0,0,0,in,1666299675329298433,1729487572269961354,erakinimedia,https://twitter.com/erakinimedia/status/1729487572269961354
Tue Nov 28 12:57:53 +0000 2023,1729484759129297265,"Ganjar Pranowo-Mahfud MD Raka 44,6% Anies Baswedan-Muhaimin Iskandar MD 43,5% Tidak Tahu/Undecided 11,9% #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1614845150173462528,1729479442647658806,KyaraHumanerror,https://twitter.com/KyaraHumanerror/status/1729484759129297265
Tue Nov 28 12:57:50 +0000 2023,1729484747074920925,"Prabowo Subianto-Gibran Rakabuming Raka 58,8% Anies Baswedan-Muhaimin Iskandar MD 32,4% Tidak Tahu/Undecided 8,8% #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1614845150173462528,1729479442647658806,KyaraHumanerror,https://twitter.com/KyaraHumanerror/status/1729484747074920925
Tue Nov 28 12:57:44 +0000 2023,1729484719405105441,"Prabowo Subianto-Gibran Rakabuming Raka 42,1% Ganjar Pranowo-Mahfud MD 28,8% Anies Baswedan-Muhaimin Iskandar 25,2% Tidak Tahu/Undecided 3,9% #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1614845150173462528,1729479442647658806,KyaraHumanerror,https://twitter.com/KyaraHumanerror/status/1729484719405105441
Tue Nov 28 12:56:12 +0000 2023,1729484333663306197,Cawapres nomor urut 01 Muhaimin Iskandar atau Cak Imin mengibaratkan sepak bola seperti perubahan yang kerap digaungkan AMIN. #focus #mulaikampanye #News #Text https://t.co/w6UTaQ0Iat,0,0,0,2,in,759692754985242625,1729484333663306197,kumparan,https://twitter.com/kumparan/status/1729484333663306197
Tue Nov 28 12:44:13 +0000 2023,1729481321083539572,"Cawapres nomor urut 1, Muhaimin Iskandar (@cakimiNOW) menjelaskan alasannya memilih Mojokerto pada hari pertama kampanye pada Selasa (28/11/2023). Selain itu Gus Imin meyakini Mojokerto memiliki ikatan organisasi perempuan yang kuat.  Download #MetroTVXtend sekarang di Play Store… https://t.co/UOK5dplYnG",2,4,31,136,in,57261519,1729481321083539572,Metro_TV,https://twitter.com/Metro_TV/status/1729481321083539572
Tue Nov 28 12:39:11 +0000 2023,1729480054093017211,"Calon Wakil Presiden nomor urut 1 Muhaimin Iskandar berkampanye di Mojokerto, Jawa Timur. Cak Imin, sapaan akrabnya, berjanji akan melakukan perubahan. https://t.co/FbmbSxfmBB",0,0,0,0,in,135795460,1729480054093017211,detikfinance,https://twitter.com/detikfinance/status/1729480054093017211
Tue Nov 28 12:37:02 +0000 2023,1729479510050136248,"Kemudian pasangan Ganjar Pranowo-Mahfud MD dipilih oleh 28,8% responden dan pasangan Anies Baswedan-Muhaimin Iskandar didukung oleh 25,2% responden.#BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1614845150173462528,1729479442647658806,KyaraHumanerror,https://twitter.com/KyaraHumanerror/status/1729479510050136248
Tue Nov 28 12:34:38 +0000 2023,1729478909065150594,"@TheMijo194687 @Yurissa_Samosir Semoga pilpres berjalan dengan jurdil, sehingga Bapak Anis Baswedan dan Bapak Muhaimin Iskandar pimpin RI 24 29. Aamiin ❗ https://t.co/pyGY9ZaUF7",0,1,0,0,in,1247097802938712064,1729410007773622371,AbdHali59646742,https://twitter.com/AbdHali59646742/status/1729478909065150594
Tue Nov 28 12:31:34 +0000 2023,1729478136654614741,"Kemudian pasangan Ganjar Pranowo-Mahfud MD dipilih oleh 28,8% responden dan pasangan Anies Baswedan-Muhaimin Iskandar didukung oleh 25,2% responden.#BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1485922326453841921,1729478061903810685,mingskyyy_,https://twitter.com/mingskyyy_/status/1729478136654614741
