created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Wed Nov 29 13:04:38 +0000 2023,1729848845901955345,"Sebut 84 Persen Koruptor Lulusan Perguruan Tinggi, Mahfud MD: Orang Sekolah, Kok Moral Bejat - https://t.co/8sYQONAPDg https://t.co/G8bScPKBXt",0,0,0,0,in,130420120,1729848845901955345,beritamanado,https://twitter.com/beritamanado/status/1729848845901955345
Wed Nov 29 13:01:23 +0000 2023,1729848028041793793,"Wakil Ketua Tim  Pemenangan Nasional (TPN) Ganjar Pranowo-Mahfud MD, Jenderal TNI (Purn)  Andika Perkasa mengaku khawatir jika kasus dugaan peretasan data pemilih  digunakan untuk intervensi jalannya Pemilu 2024. &lt  #Ganjar #AndikaPerkasa #Pemilu2024 https://t.co/jMNC4vYOAV",0,68,44,59,in,23343960,1729848028041793793,kompascom,https://twitter.com/kompascom/status/1729848028041793793
Wed Nov 29 13:00:30 +0000 2023,1729847806083342762,@VIVAcoid Mari kita all in selalu dukung penuh Ganjar Mahfud MD,0,0,0,0,in,1723632366911123456,1729729676850163812,libracorn14,https://twitter.com/libracorn14/status/1729847806083342762
Wed Nov 29 13:00:01 +0000 2023,1729847684813459477,@kumparan Setia kapanpun dukung Ganjar Mahfud MD m3nang,0,0,0,0,in,1723632366911123456,1729507211184148775,libracorn14,https://twitter.com/libracorn14/status/1729847684813459477
Wed Nov 29 13:00:01 +0000 2023,1729847683853222088,"Juru bicara TPN Ganjar Pranowo dan Mahfud MD, Aiman Witjaksono dipanggil polisi pada Jumat (1/1/2023).  (ld) #aiman https://t.co/ZIE2BLYj1K",1,1,0,1,in,124171593,1729847683853222088,tribunnews,https://twitter.com/tribunnews/status/1729847683853222088
Wed Nov 29 12:59:49 +0000 2023,1729847634964181266,the real apapun aku bisa lakukan   #mahfudmd #GanjarMahfud #GanjarMahfudM3nang https://t.co/kyodFvayyO,0,0,0,0,in,1577148925479645184,1729847634964181266,ajeng_mahrani,https://twitter.com/ajeng_mahrani/status/1729847634964181266
Wed Nov 29 12:59:33 +0000 2023,1729847567121297918,@kumparan Yogyakarta pasti dukung Ganjar Mahfud MD sampe kapanpun,0,0,0,0,in,1723632366911123456,1729515637402485052,libracorn14,https://twitter.com/libracorn14/status/1729847567121297918
Wed Nov 29 12:58:55 +0000 2023,1729847405032452288,@kumparan Mari ramaikan pemilu dukung Ganjar Mahfud MD,0,0,0,0,in,1723632366911123456,1729527715727057076,libracorn14,https://twitter.com/libracorn14/status/1729847405032452288
Wed Nov 29 12:58:19 +0000 2023,1729847255769788591,@kumparan Gaspoll all in Ganjar Mahfud MD,0,0,0,0,in,1723632366911123456,1729693311366217973,libracorn14,https://twitter.com/libracorn14/status/1729847255769788591
Wed Nov 29 12:57:49 +0000 2023,1729847129462501743,@kumparan Yakin 100% Ganjar Mahfud MD m3nang,0,0,0,0,in,1723632366911123456,1729696950621204509,libracorn14,https://twitter.com/libracorn14/status/1729847129462501743
Wed Nov 29 12:57:25 +0000 2023,1729847031089230197,@kumparan Ayo Surabaya dukung Ganjar Mahfud MD semoga m3nang,0,0,0,0,in,1723632366911123456,1729701357928735209,libracorn14,https://twitter.com/libracorn14/status/1729847031089230197
Wed Nov 29 12:56:54 +0000 2023,1729846900218552664,"yakni Anies Baswedan-Muhaimin Iskandar dengan nomor urut 1, Prabowo Subianto-Gibran Rakabuming Raka nomor urut 2, dan Ganjar Pranowo-Mahfud MD nomor urut 3. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1637364641364836353,1729846874448765319,SonnyTulang,https://twitter.com/SonnyTulang/status/1729846900218552664
Wed Nov 29 12:56:53 +0000 2023,1729846895063728205,@kumparan Optimis Ganjar Mahfud MD m3nang,0,0,0,0,in,1723632366911123456,1729748423719727363,libracorn14,https://twitter.com/libracorn14/status/1729846895063728205
